,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
73,Beggin',Måneskin,7716319,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
74,DANÇARINA,"PEDRO SAMPAIO",7675813,https://open.spotify.com/track/5zNxUkUW9WiV5oyg6gh2wB
75,"Mon Amour - Remix",zzoilo,7630591,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
76,Toxic,BoyWithUke,7607400,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
77,"Sweetest Pie","Megan Thee Stallion",7582786,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
78,"The Real Slim Shady",Eminem,7548931,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
79,"love nwantiti (ah ah ah)",CKay,7497565,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
80,"Me Arrepentí",Ak4:20,7491107,https://open.spotify.com/track/40w8JmvwYUP2HUiXPxjy99
81,"sentaDONA (Remix) s2","Davi Kneip",7451423,https://open.spotify.com/track/3sd2p4kE7xQmFH3lPnFl6h
82,"Demasiadas Mujeres","C. Tangana",7436052,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
83,"A Tu Merced","Bad Bunny",7423032,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
84,Believer,"Imagine Dragons",7421709,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
85,"Mount Everest",Labrinth,7399437,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
86,"One Right Now (with The Weeknd)","Post Malone",7336824,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
87,"Don't Start Now","Dua Lipa",7280935,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
88,Sigue,"J Balvin",7268105,https://open.spotify.com/track/0bBd6K5X4W7t9GyXcaVOA7
89,"Leave The Door Open","Bruno Mars",7231370,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T
90,"Numb Little Bug","Em Beihold",7195892,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
91,"lovely (with Khalid)","Billie Eilish",7195453,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
92,Dynamite,BTS,7178732,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
93,Lost,"Frank Ocean",7167133,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
94,"Todo De Ti","Rauw Alejandro",7123589,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
95,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7103252,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
96,"Dark Red","Steve Lacy",7100628,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
97,Volví,Aventura,7091294,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
98,"Oh My God",Adele,7083471,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
99,RUMBATÓN,"Daddy Yankee",7065940,https://open.spotify.com/track/3XjN0mvFkQp1FMVM9Ro5hm
100,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,6956554,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
101,"No Role Modelz","J. Cole",6951608,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
102,"Someone You Loved","Lewis Capaldi",6948165,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
103,Chale,"Eden Muñoz",6925662,https://open.spotify.com/track/74WROFXsox6wkeUrEK2DS6
104,"LA CANCIÓN","J Balvin",6851920,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
105,"Soy El Unico","Yahritza Y Su Esencia",6815153,https://open.spotify.com/track/6HJIZUOiZDE814XMhRGSZN
106,"Fingers Crossed","Lauren Spencer-Smith",6785456,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
107,Notion,"The Rare Occasions",6784571,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
108,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",6768836,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
109,"Smells Like Teen Spirit - Remastered",Nirvana,6738962,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
110,"Still D.R.E.","Dr. Dre",6724067,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
111,"La Santa","Bad Bunny",6717640,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
112,Revenge,XXXTENTACION,6697817,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
113,"Si Quieren Frontear",Duki,6660533,https://open.spotify.com/track/6bQ5823aHmFVKLZW8E7rRo
114,"Locked out of Heaven","Bruno Mars",6655530,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
115,"You Right","Doja Cat",6641198,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
116,Unstoppable,Sia,6614976,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
117,"Adore You","Harry Styles",6572013,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
118,"Counting Stars",OneRepublic,6541919,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
119,happier,"Olivia Rodrigo",6517314,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
120,"Nail Tech","Jack Harlow",6435182,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
121,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,6385988,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
122,MONEY,LISA,6377188,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
123,Freaks,"Surf Curse",6343372,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
124,"favorite crime","Olivia Rodrigo",6324695,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
125,"Shape of You","Ed Sheeran",6304057,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
126,"Angel Baby","Troye Sivan",6292287,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
127,"Daddy Issues","The Neighbourhood",6290670,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
128,Falling,"Harry Styles",6286668,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
129,Payphone,"Maroon 5",6232229,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
130,"Bohemian Rhapsody - Remastered 2011",Queen,6224143,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
131,"up at night (feat. justin bieber)",Kehlani,6218121,https://open.spotify.com/track/4WghJOMjDpGdlk3b8aJIgy
132,"TO THE MOON","Jnr Choi",6203768,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
133,"Volando - Remix",Mora,6188891,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
134,Golden,"Harry Styles",6183000,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
135,"Blank Space","Taylor Swift",6172482,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
136,"LA FAMA (with The Weeknd)",ROSALÍA,6169645,https://open.spotify.com/track/6Y46tOTRhkBamosyuWa6YX
137,"pushin P (feat. Young Thug)",Gunna,6139994,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
138,MANIAC,"Stray Kids",6096488,https://open.spotify.com/track/7BDHDiidJ8WV349p3HTxTV
139,"Fim de Semana no Rio",Teto,6096179,https://open.spotify.com/track/7afaZ37wJJL6880z1NRgJS
140,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,6073595,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
141,"Nobody Like U","4*TOWN (From Disney and Pixar’s Turning Red)",6071161,https://open.spotify.com/track/4bV5sf2B4hWBBd5HQ8S7KB
142,Mujeriego,"Ryan Castro",6068621,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
